REF_AREA,INDICATOR,SEX,AGE,AGE_AT_BIRTH,WEALTH_QUINTILE,RESIDENCE,MOTHER_EDUCATION,DATA_SOURCE,UNIT_MULTIPLIER,UNIT_MEASURE,SERIES_FOOTNOTE,SUB_SECTOR,TIME_PERIOD,OBS_VALUE,SOWC_FLAG_A,DATA_SOURCE_PRIORITY,OBS_STATUS,OBS_CONF,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,UNWGTD_SAMPL_SIZE,OBS_FOOTNOTE,SOURCE_LINK,TIME_PERIOD_METHOD,COVERAGE_TIME
GHA,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_947,0,PCNT,,FAMILY_PLANNING,2011,40.8,,1,RP,F,,,,,,,EOF,
GHA,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_945,0,PCNT,,FAMILY_PLANNING,2008,31,,1,RP,F,,,,,,,EOF,
GHA,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_2804,0,PCNT,,FAMILY_PLANNING,2022,49,,1,RP,F,,,,,,,EOF,
SSD,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_2007,0,PCNT,,FAMILY_PLANNING,2010,5.6,,1,RP,F,,,,,,,EOF,
DZA,MNCH_DEMAND_FP,_T,Y15T19,_T,_T,_T,_T,MNCH_SRC_2909,0,PCNT,,FAMILY_PLANNING,2019,56.6,,1,RP,F,,,,,,"United Nations Department of Economic and Social Affairs, Population Division (2024). World Contraceptive Use 2024",EOF,
ERI,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_800,0,PCNT,,FAMILY_PLANNING,2010,21,,1,RP,F,,,,,,,EOF,
CRI,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_3204,0,PCNT,,FAMILY_PLANNING,2010,85.1,,1,RP,F,,,,,,,EOF,
CRI,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_598,0,PCNT,,FAMILY_PLANNING,2011,89.1,,1,RP,F,,,,,,,EOF,
CRI,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_610,0,PCNT,,FAMILY_PLANNING,2018,80.8,,1,RP,F,,,,,,,EOF,
MDA,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_1854,0,PCNT,,FAMILY_PLANNING,2012,60.4,,1,RP,F,,,,,,,EOF,
MDA,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_1849,0,PCNT,,FAMILY_PLANNING,2005,56.1,,1,RP,F,,,,,,,EOF,
MDA,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_1858,0,PCNT,,FAMILY_PLANNING,2020,59.5,,1,RP,F,,,,,,,EOF,
CAF,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_470,0,PCNT,,FAMILY_PLANNING,2010,28.7,,1,RP,F,,,,,,,EOF,
CAF,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_471,0,PCNT,,FAMILY_PLANNING,2019,27.6,,1,RP,F,,,,,,,EOF,
ERI,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_795,0,PCNT,,FAMILY_PLANNING,2002,20.9,,1,RP,F,,,,,,,EOF,
AU_EASTERN_AFRICA,MNCH_DEMAND_FP,_T,Y15T19,_T,_T,_T,_T,MNCH_SRC_2918,0,PCNT,,FAMILY_PLANNING,2023,55.8,,1,RA,F,,,,,,,EOF,
CPV,MNCH_DEMAND_FP,_T,Y15T19,_T,_T,_T,_T,MNCH_SRC_2909,0,PCNT,,FAMILY_PLANNING,2005,68.3,,1,RP,F,,,,,,"United Nations Department of Economic and Social Affairs, Population Division (2024). World Contraceptive Use 2024",EOF,
BRB,MNCH_DEMAND_FP,_T,Y15T19,_T,_T,_T,_T,MNCH_SRC_2909,0,PCNT,,FAMILY_PLANNING,2012,55.9,,1,RP,F,,,,,,"United Nations Department of Economic and Social Affairs, Population Division (2024). World Contraceptive Use 2024",EOF,
KHM,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_442,0,PCNT,,FAMILY_PLANNING,2010,51.6,,1,RP,F,,,,,,,EOF,
KHM,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_444,0,PCNT,,FAMILY_PLANNING,2014,56.5,,1,RP,F,,,,,,,EOF,
KHM,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_2756,0,PCNT,,FAMILY_PLANNING,2021,59.5,,1,RP,F,,,,,,,EOF,
KHM,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_439,0,PCNT,,FAMILY_PLANNING,2005,41.6,,1,RP,F,,,,,,,EOF,
GHA,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_958,0,PCNT,,FAMILY_PLANNING,2017,40.4,,1,RP,F,,,,,,,EOF,
GHA,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_953,0,PCNT,,FAMILY_PLANNING,2016,43.8,,1,RP,F,,,,,,,EOF,
GHA,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_949,0,PCNT,,FAMILY_PLANNING,2013,31,,1,RP,F,,,,,,,EOF,
GHA,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_952,0,PCNT,,FAMILY_PLANNING,2015,46.2,,1,RP,F,,,,,,,EOF,
PNG,MNCH_DEMAND_FP,_T,Y15T19,_T,_T,_T,_T,MNCH_SRC_2911,0,PCNT,,FAMILY_PLANNING,2018,32.6,,1,RP,F,,,,,,"United Nations Department of Economic and Social Affairs, Population Division (2024). World Contraceptive Use 2024",EOF,
FRA,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_865,0,PCNT,,FAMILY_PLANNING,2004,95.5,,1,RP,F,,,,,,,EOF,
SDGRC_ECA_ALL,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_2918,0,PCNT,,FAMILY_PLANNING,2023,59.2,,1,RA,F,,,,,,,EOF,
NER,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_1589,0,PCNT,,FAMILY_PLANNING,2016,37.5,,1,RP,F,,,,,,,EOF,
